filename,variable,missing_percent,test_result,r_value,verdict
APRIL_2018.CSV,other_job_indicator,61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,want_more_hours_of_work,61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c23_class_of_worker_(primary_occupation),61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c14_primary_occupation,60.71,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c16_kind_of_business_(primary_occupation),60.71,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c08_currently_attending_school,59.4,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c12_job_indicator,49.66,Pattern Found (r=0.77),0.7717,Likely MAR (Impute)
APRIL_2018.CSV,c41_did_work_or_had_a_job_during_the_past_quarter,46.74,Pattern Found (r=0.73),0.7295,Likely MAR (Impute)
APRIL_2018.CSV,"new_employment_criteria_(jul_05,_2005)",32.46,Pattern Found (r=0.88),0.8798,Likely MAR (Impute)
APRIL_2018.CSV,c09_graduate_of_technical/vocational_course,30.5,Pattern Found (r=0.89),0.8865,Likely MAR (Impute)
APRIL_2018.CSV,c10_overseas_filipino_indicator,30.5,Pattern Found (r=0.92),0.9245,Likely MAR (Impute)
APRIL_2018.CSV,work_indicator,10.71,Pattern Found (r=0.55),0.5499,Likely MAR (Impute)
APRIL_2018.CSV,c07_highest_grade_completed,8.74,Pattern Found (r=0.61),0.6149,Likely MAR (Impute)
APRIL_2018.CSV,c06_marital_status,8.74,Pattern Found (r=0.61),0.6149,Likely MAR (Impute)
JULY_2018.CSV,first_time_to_look_for_work,99.04,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c32_job_search_method,99.04,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c33_number_of_weeks_spent_in_looking_for_work,99.04,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c35_when_last_looked_for_work,98.71,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c27_number_of_jobs_during_the_past_week,96.67,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,available_for_work,95.89,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c37_willingness_to_take_up_work_during_the_past_week_or_withing_two_weeks,95.89,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,previous_occupation,86.75,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c29_reasons_for_working_more_than_48_hours_during_the_past_week,80.12,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c25_basic_pay_per_day_(primary_occupation),78.54,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c24_basis_of_payment_(primary_occupation),76.45,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c34_reason_for_not_looking_for_work,71.82,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,looked_for_work_or_tried_to_establish_business_during_the_past_week,70.86,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,previous_job_indicator,70.86,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,kind_of_business_(past_quarter),65.38,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,want_more_hours_of_work,61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c22_first_time_to_work,61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,look_for_additional_work,61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c19_total_number_of_hours_worked_during_the_past_week,61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c17_nature_of_employment_(primary_occupation),61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,normal_working_hours_per_day,61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,total_hours_worked_for_all_jobs,61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,other_job_indicator,61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c23_class_of_worker_(primary_occupation),61.93,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c14_primary_occupation,61.56,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c16_kind_of_business_(primary_occupation),61.56,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c08_currently_attending_school,59.19,Insufficient Data,,Potential MNAR (Drop)
JULY_2018.CSV,c12_job_indicator,48.96,Pattern Found (r=0.90),0.9034,Likely MAR (Impute)
JULY_2018.CSV,c41_did_work_or_had_a_job_during_the_past_quarter,48.68,Pattern Found (r=0.74),0.7446,Likely MAR (Impute)
JULY_2018.CSV,"new_employment_criteria_(jul_05,_2005)",32.79,Pattern Found (r=0.94),0.9395,Likely MAR (Impute)
JULY_2018.CSV,c09_graduate_of_technical/vocational_course,31.05,Pattern Found (r=0.98),0.9777,Likely MAR (Impute)
JULY_2018.CSV,c09a___currently_attending_non_formal_training_for_skills_development,31.05,Pattern Found (r=0.94),0.9408,Likely MAR (Impute)
JULY_2018.CSV,c10_overseas_filipino_indicator,31.05,Pattern Found (r=0.98),0.9777,Likely MAR (Impute)
JULY_2018.CSV,work_indicator,10.69,Pattern Found (r=0.67),0.6721,Likely MAR (Impute)
JULY_2018.CSV,c06_marital_status,8.95,Pattern Found (r=0.65),0.6527,Likely MAR (Impute)
JULY_2018.CSV,c07_highest_grade_completed,8.95,Pattern Found (r=0.76),0.7631,Likely MAR (Impute)
OCTOBER_2018.CSV,first_time_to_look_for_work,99.18,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c32_job_search_method,99.18,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c33_number_of_weeks_spent_in_looking_for_work,99.18,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c35_when_last_looked_for_work,99.08,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c27_number_of_jobs_during_the_past_week,97.07,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,available_for_work,96.8,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c37_willingness_to_take_up_work_during_the_past_week_or_withing_two_weeks,96.8,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,previous_occupation,84.05,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c29_reasons_for_working_more_than_48_hours_during_the_past_week,79.97,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c25_basic_pay_per_day_(primary_occupation),78.88,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c24_basis_of_payment_(primary_occupation),76.49,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c34_reason_for_not_looking_for_work,72.15,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,looked_for_work_or_tried_to_establish_business_during_the_past_week,71.33,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,previous_job_indicator,71.33,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,kind_of_business_(past_quarter),61.36,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,look_for_additional_work,61.22,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,normal_working_hours_per_day,61.22,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c22_first_time_to_work,61.22,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,want_more_hours_of_work,61.22,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c17_nature_of_employment_(primary_occupation),61.22,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,other_job_indicator,60.9,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,total_hours_worked_for_all_jobs,60.9,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c19_total_number_of_hours_worked_during_the_past_week,60.9,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c16_kind_of_business_(primary_occupation),60.9,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c14_primary_occupation,60.9,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c23_class_of_worker_(primary_occupation),60.9,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c08_currently_attending_school,59.58,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2018.CSV,c12_job_indicator,49.53,Pattern Found (r=0.78),0.7831,Likely MAR (Impute)
OCTOBER_2018.CSV,c41_did_work_or_had_a_job_during_the_past_quarter,45.27,Pattern Found (r=0.82),0.8235,Likely MAR (Impute)
OCTOBER_2018.CSV,"new_employment_criteria_(jul_05,_2005)",32.55,Pattern Found (r=0.94),0.9375,Likely MAR (Impute)
OCTOBER_2018.CSV,c09_graduate_of_technical/vocational_course,30.54,Pattern Found (r=0.98),0.9829,Likely MAR (Impute)
OCTOBER_2018.CSV,c09a___currently_attending_non_formal_training_for_skills_development,30.54,Pattern Found (r=0.94),0.9434,Likely MAR (Impute)
OCTOBER_2018.CSV,c10_overseas_filipino_indicator,30.54,Pattern Found (r=0.98),0.9829,Likely MAR (Impute)
OCTOBER_2018.CSV,work_indicator,10.63,Pattern Found (r=0.51),0.5085,Likely MAR (Impute)
OCTOBER_2018.CSV,c06_marital_status,8.62,Pattern Found (r=0.61),0.6113,Likely MAR (Impute)
OCTOBER_2018.CSV,c07_highest_grade_completed,8.62,Pattern Found (r=0.61),0.6113,Likely MAR (Impute)
JANUARY_2018.CSV,c35_when_last_looked_for_work,99.19,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c33_number_of_weeks_spent_in_looking_for_work,99.05,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c32_job_search_method,99.05,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,first_time_to_look_for_work,99.05,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c27_number_of_jobs_during_the_past_week,96.81,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c37_willingness_to_take_up_work_during_the_past_week_or_withing_two_weeks,96.77,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,available_for_work,96.77,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c29_reasons_for_working_more_than_48_hours_during_the_past_week,91.46,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,previous_occupation,84.33,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c25_basic_pay_per_day_(primary_occupation),79.59,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c24_basis_of_payment_(primary_occupation),77.14,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c34_reason_for_not_looking_for_work,73.49,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,looked_for_work_or_tried_to_establish_business_during_the_past_week,72.54,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,previous_job_indicator,72.54,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,kind_of_business_(past_quarter),60.89,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c22_first_time_to_work,60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,look_for_additional_work,60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c19_total_number_of_hours_worked_during_the_past_week,60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c17_nature_of_employment_(primary_occupation),60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,normal_working_hours_per_day,60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,total_hours_worked_for_all_jobs,60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,other_job_indicator,60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,want_more_hours_of_work,60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c23_class_of_worker_(primary_occupation),60.72,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c14_primary_occupation,60.01,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c16_kind_of_business_(primary_occupation),60.01,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c08_currently_attending_school,59.19,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c12_job_indicator,50.59,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2018.CSV,c41_did_work_or_had_a_job_during_the_past_quarter,45.05,Pattern Found (r=0.83),0.8345,Likely MAR (Impute)
JANUARY_2018.CSV,"new_employment_criteria_(jul_05,_2005)",33.26,Pattern Found (r=0.89),0.8884,Likely MAR (Impute)
JANUARY_2018.CSV,c09_graduate_of_technical/vocational_course,31.39,Pattern Found (r=0.95),0.9483,Likely MAR (Impute)
JANUARY_2018.CSV,c10_overseas_filipino_indicator,31.39,Pattern Found (r=0.93),0.9316,Likely MAR (Impute)
JANUARY_2018.CSV,work_indicator,11.03,Pattern Found (r=0.71),0.7081,Likely MAR (Impute)
JANUARY_2018.CSV,c07_highest_grade_completed,9.16,Pattern Found (r=0.77),0.774,Likely MAR (Impute)
JANUARY_2018.CSV,c06_marital_status,9.16,Pattern Found (r=0.63),0.6266,Likely MAR (Impute)
APRIL_2019.CSV,first_time_to_look_for_work,99.12,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c32_job_search_method,99.12,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c33_number_of_weeks_spent_in_looking_for_work,99.12,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c35_when_last_looked_for_work,99.05,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c27_number_of_jobs_during_the_past_week,97.04,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,available_for_work,96.61,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c37_willingness_to_take_up_work_during_the_past_week_or_withing_two_weeks,96.61,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,previous_occupation,83.84,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c29_reasons_for_working_more_than_48_hours_during_the_past_week,78.98,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c25_basic_pay_per_day_(primary_occupation),78.82,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c24_basis_of_payment_(primary_occupation),76.2,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c34_reason_for_not_looking_for_work,72.17,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,looked_for_work_or_tried_to_establish_business_during_the_past_week,71.3,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,previous_job_indicator,71.3,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,kind_of_business_(past_quarter),61.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,want_more_hours_of_work,60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c22_first_time_to_work,60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,look_for_additional_work,60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c19_total_number_of_hours_worked_during_the_past_week,60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c17_nature_of_employment_(primary_occupation),60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,normal_working_hours_per_day,60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,total_hours_worked_for_all_jobs,60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,other_job_indicator,60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c23_class_of_worker_(primary_occupation),60.37,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c08_currently_attending_school,60.1,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c14_primary_occupation,59.75,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c16_kind_of_business_(primary_occupation),59.75,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c12_job_indicator,50.1,Insufficient Data,,Potential MNAR (Drop)
APRIL_2019.CSV,c41_did_work_or_had_a_job_during_the_past_quarter,44.21,Pattern Found (r=0.72),0.7223,Likely MAR (Impute)
APRIL_2019.CSV,"new_employment_criteria_(jul_05,_2005)",31.67,Pattern Found (r=0.95),0.9466,Likely MAR (Impute)
APRIL_2019.CSV,c09_graduate_of_technical/vocational_course,29.77,Pattern Found (r=0.99),0.9901,Likely MAR (Impute)
APRIL_2019.CSV,c09a___currently_attending_non_formal_training_for_skills_development,29.77,Pattern Found (r=0.94),0.9413,Likely MAR (Impute)
APRIL_2019.CSV,c10_overseas_filipino_indicator,29.77,Pattern Found (r=0.99),0.9901,Likely MAR (Impute)
APRIL_2019.CSV,work_indicator,10.27,Pattern Found (r=0.51),0.5074,Likely MAR (Impute)
APRIL_2019.CSV,c06_marital_status,8.38,Pattern Found (r=0.63),0.6332,Likely MAR (Impute)
APRIL_2019.CSV,c07_highest_grade_completed,8.38,Pattern Found (r=0.63),0.6332,Likely MAR (Impute)
OCTOBER_2019.CSV,first_time_to_look_for_work,99.15,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c32_job_search_method,99.15,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c33_number_of_weeks_spent_in_looking_for_work,99.15,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c35_when_last_looked_for_work,99.07,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c27_number_of_jobs_during_the_past_week,97.12,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,available_for_work,96.75,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c37_willingness_to_take_up_work_during_the_past_week_or_withing_two_weeks,96.75,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,previous_occupation,84.0,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c29_reasons_for_working_more_than_48_hours_during_the_past_week,79.57,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c25_basic_pay_per_day_(primary_occupation),79.15,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c24_basis_of_payment_(primary_occupation),75.73,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c34_reason_for_not_looking_for_work,71.9,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,looked_for_work_or_tried_to_establish_business_during_the_past_week,71.05,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,previous_job_indicator,71.05,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,kind_of_business_(past_quarter),60.76,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,normal_working_hours_per_day,60.31,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,want_more_hours_of_work,60.31,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,look_for_additional_work,60.31,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c22_first_time_to_work,60.31,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c17_nature_of_employment_(primary_occupation),60.31,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,other_job_indicator,59.96,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,total_hours_worked_for_all_jobs,59.96,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c19_total_number_of_hours_worked_during_the_past_week,59.96,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c16_kind_of_business_(primary_occupation),59.96,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c14_primary_occupation,59.96,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c23_class_of_worker_(primary_occupation),59.96,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c08_currently_attending_school,59.88,Insufficient Data,,Potential MNAR (Drop)
OCTOBER_2019.CSV,c12_job_indicator,49.66,Pattern Found (r=0.91),0.9052,Likely MAR (Impute)
OCTOBER_2019.CSV,c41_did_work_or_had_a_job_during_the_past_quarter,44.31,Pattern Found (r=0.72),0.7182,Likely MAR (Impute)
OCTOBER_2019.CSV,"new_employment_criteria_(jul_05,_2005)",31.35,Pattern Found (r=0.95),0.9493,Likely MAR (Impute)
OCTOBER_2019.CSV,c09_graduate_of_technical/vocational_course,29.58,Pattern Found (r=0.99),0.99,Likely MAR (Impute)
OCTOBER_2019.CSV,c09a___currently_attending_non_formal_training_for_skills_development,29.58,Pattern Found (r=0.94),0.9407,Likely MAR (Impute)
OCTOBER_2019.CSV,c10_overseas_filipino_indicator,29.58,Pattern Found (r=0.99),0.99,Likely MAR (Impute)
OCTOBER_2019.CSV,work_indicator,9.89,Pattern Found (r=0.50),0.5008,Likely MAR (Impute)
OCTOBER_2019.CSV,c06_marital_status,8.11,Pattern Found (r=0.63),0.6302,Likely MAR (Impute)
OCTOBER_2019.CSV,c07_highest_grade_completed,8.11,Pattern Found (r=0.63),0.6302,Likely MAR (Impute)
JANUARY_2019.CSV,first_time_to_look_for_work,99.18,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c32_job_search_method,99.18,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c33_number_of_weeks_spent_in_looking_for_work,99.18,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c35_when_last_looked_for_work,98.74,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c27_number_of_jobs_during_the_past_week,96.61,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,available_for_work,96.06,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c37_willingness_to_take_up_work_during_the_past_week_or_withing_two_weeks,96.06,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,previous_occupation,85.46,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c29_reasons_for_working_more_than_48_hours_during_the_past_week,80.73,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c25_basic_pay_per_day_(primary_occupation),78.49,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c24_basis_of_payment_(primary_occupation),76.23,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c34_reason_for_not_looking_for_work,71.19,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,looked_for_work_or_tried_to_establish_business_during_the_past_week,70.37,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,previous_job_indicator,70.37,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,kind_of_business_(past_quarter),63.28,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,want_more_hours_of_work,61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c22_first_time_to_work,61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,look_for_additional_work,61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c19_total_number_of_hours_worked_during_the_past_week,61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c17_nature_of_employment_(primary_occupation),61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,normal_working_hours_per_day,61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,total_hours_worked_for_all_jobs,61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,other_job_indicator,61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c23_class_of_worker_(primary_occupation),61.98,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c14_primary_occupation,61.71,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c16_kind_of_business_(primary_occupation),61.71,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c08_currently_attending_school,59.21,Insufficient Data,,Potential MNAR (Drop)
JANUARY_2019.CSV,c12_job_indicator,48.44,Pattern Found (r=0.90),0.9049,Likely MAR (Impute)
JANUARY_2019.CSV,c41_did_work_or_had_a_job_during_the_past_quarter,47.44,Pattern Found (r=0.73),0.7297,Likely MAR (Impute)
JANUARY_2019.CSV,"new_employment_criteria_(jul_05,_2005)",32.35,Pattern Found (r=0.95),0.9465,Likely MAR (Impute)
JANUARY_2019.CSV,c09_graduate_of_technical/vocational_course,30.7,Pattern Found (r=0.98),0.9834,Likely MAR (Impute)
JANUARY_2019.CSV,c09a___currently_attending_non_formal_training_for_skills_development,30.7,Pattern Found (r=0.93),0.9318,Likely MAR (Impute)
JANUARY_2019.CSV,c10_overseas_filipino_indicator,30.7,Pattern Found (r=0.98),0.9834,Likely MAR (Impute)
JANUARY_2019.CSV,work_indicator,10.35,Pattern Found (r=0.67),0.672,Likely MAR (Impute)
